Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
1,0,80.0,30.0,0,1
1,1,29.69911764705882,89.1042,1,1
3,1,29.69911764705882,25.4667,4,0
2,0,21.0,73.5,2,0
3,0,36.0,0.0,0,0
3,0,29.69911764705882,7.75,0,0
3,0,24.0,7.7958,0,0
3,0,47.0,9.0,0,0
3,0,22.0,9.35,0,0
3,1,29.69911764705882,22.3583,2,1
3,0,29.69911764705882,7.75,0,0
2,0,39.0,13.0,0,0
3,0,29.69911764705882,7.75,0,0
1,1,36.0,135.6333,0,1
1,0,21.0,77.2875,1,1
3,0,35.0,7.05,0,0
1,0,0.92,151.55,3,1
3,0,29.69911764705882,7.8958,0,0
3,0,33.0,7.8958,0,0
3,0,26.0,8.6625,2,0
3,1,29.69911764705882,7.75,0,0
2,0,35.0,10.5,0,0
3,0,18.0,8.05,0,0
3,0,29.69911764705882,7.75,0,0
1,1,2.0,151.55,3,1
2,0,54.0,26.0,0,0
2,1,33.0,27.75,3,0
2,0,60.0,39.0,2,0
2,1,22.0,41.5792,3,0
3,0,29.69911764705882,7.225,0,0
3,0,19.0,8.05,0,0
1,1,49.0,25.9292,0,1
1,0,29.69911764705882,30.5,0,1
3,0,29.69911764705882,7.25,0,0
3,1,14.0,7.8542,0,0
1,0,54.0,77.2875,1,1
3,0,22.0,7.25,0,0
3,0,22.0,7.125,0,0
3,0,35.0,7.8958,0,0
3,0,27.0,7.7958,0,0
1,0,29.69911764705882,221.7792,0,1
3,0,30.0,16.1,1,0
2,0,34.0,21.0,1,0
1,0,52.0,79.65,2,1
1,0,36.0,40.125,0,1
1,0,46.0,79.2,0,1
2,0,18.0,73.5,0,0
3,1,43.0,46.9,7,0
3,0,39.0,31.275,6,0
3,0,29.69911764705882,8.7125,0,0
3,1,29.69911764705882,7.8292,0,0
2,1,45.0,13.5,0,0
3,1,31.0,18.0,1,0
3,0,29.69911764705882,7.8958,0,0
3,0,21.0,7.8542,0,0
3,0,21.0,7.925,0,0
3,0,36.0,15.55,1,0
2,1,41.0,19.5,1,0
3,0,20.0,7.2292,0,0
1,1,58.0,26.55,0,1
1,0,27.0,76.7292,0,1
2,0,34.0,13.0,0,1
3,0,26.0,7.775,0,0
1,1,24.0,49.5042,0,1
3,0,29.69911764705882,7.725,0,0
1,0,35.0,26.2875,0,1
2,0,34.0,13.0,0,0
1,0,40.0,27.7208,0,0
3,0,29.69911764705882,7.225,0,0
2,1,17.0,12.0,0,0
3,1,16.0,7.75,0,0
3,0,29.69911764705882,7.8958,0,0
3,0,30.0,9.5,0,0
2,1,4.0,23.0,2,0
3,1,28.0,14.4,2,0
1,0,45.5,28.5,0,1
2,1,18.0,13.0,2,0
3,0,29.69911764705882,23.45,3,0
2,0,34.0,21.0,1,0
1,1,15.0,211.3375,1,1
1,1,41.0,134.5,0,1
2,0,31.0,37.0042,2,0
3,1,2.0,27.9,5,0
3,0,70.5,7.75,0,0
3,1,29.69911764705882,7.75,0,0
3,0,24.0,16.1,1,0
3,0,28.0,7.8958,0,0
3,0,6.0,12.475,1,1
1,0,71.0,34.6542,0,1
2,1,29.0,26.0,1,0
3,0,29.69911764705882,7.75,0,0
3,0,28.0,9.5,0,0
3,1,29.69911764705882,7.225,0,0
3,0,29.69911764705882,7.75,0,0
1,1,26.0,78.85,0,0
3,0,26.0,7.8875,0,0
2,1,19.0,26.0,1,0
3,0,32.0,7.925,0,0
2,1,57.0,10.5,0,1
3,0,33.0,7.775,0,0
3,0,16.0,39.6875,5,0
3,0,25.0,7.25,0,0
3,0,44.0,8.05,0,0
1,1,33.0,53.1,1,1
3,0,29.69911764705882,7.8958,0,0
3,0,38.0,8.6625,0,0
2,0,29.69911764705882,0.0,0,0
3,0,29.69911764705882,25.4667,4,0
3,0,29.69911764705882,15.2458,2,0
3,1,14.0,11.2417,1,0
3,0,23.0,9.225,0,0
3,1,14.5,14.4542,1,0
2,0,23.0,13.0,0,0
3,0,14.0,46.9,7,0
3,0,22.0,7.25,1,0
1,0,47.0,38.5,0,1
2,1,34.0,10.5,0,1
1,1,29.69911764705882,55.0,1,1
1,1,30.0,86.5,0,1
3,1,29.69911764705882,69.55,10,0
3,0,32.0,8.3625,0,0
2,0,29.69911764705882,0.0,0,0
3,0,29.69911764705882,7.225,0,0
2,1,30.0,21.0,3,0
2,0,28.0,13.0,0,0
3,1,22.0,9.8375,0,0
2,1,44.0,26.0,1,0
3,0,24.0,7.8958,0,0
2,0,24.0,13.0,0,0
3,0,20.0,4.0125,0,0
2,1,4.0,39.0,3,1
3,1,27.0,7.925,0,0
2,0,34.0,13.0,0,0
3,0,39.0,7.925,0,0
1,0,29.69911764705882,27.7208,0,0
3,1,29.69911764705882,8.1375,0,0
3,0,24.0,7.1417,0,0
2,0,34.0,26.0,1,0
3,0,22.0,8.05,0,0
1,0,25.0,55.4417,1,1
1,0,17.0,110.8833,2,1
2,0,24.0,10.5,0,0
1,0,70.0,71.0,2,1
3,1,5.0,19.2583,3,0
3,0,20.5,7.25,0,0
3,0,23.0,7.8542,0,0
3,0,29.69911764705882,24.15,0,0
3,0,29.69911764705882,7.25,0,0
1,0,48.0,52.0,1,1
3,0,20.0,15.7417,2,0
3,0,29.0,7.75,0,0
2,1,50.0,10.5,0,0
3,0,31.0,7.925,0,0
3,1,24.0,19.2583,3,0
3,0,12.0,11.2417,1,0
3,0,31.0,7.75,0,0
3,1,45.0,7.75,0,0
1,1,29.69911764705882,52.0,1,1
2,0,32.0,73.5,2,0
3,0,32.0,7.8958,0,0
3,0,29.69911764705882,7.8958,0,0
3,0,29.69911764705882,7.8958,0,0
3,1,29.69911764705882,8.05,0,0
3,1,9.0,34.375,4,0
1,0,29.69911764705882,0.0,0,1
3,1,30.0,12.475,0,0
2,0,39.0,13.0,0,0
1,1,35.0,53.1,1,1
3,0,32.0,56.4958,0,0
1,1,23.0,113.275,1,1
3,0,26.0,7.8542,1,0
2,1,8.0,26.25,2,0
3,0,9.0,46.9,7,0
3,1,28.0,7.8958,0,0
3,0,18.0,7.75,0,0
3,0,32.0,7.925,0,0
1,0,37.0,53.1,1,1
1,1,38.0,227.525,0,1
